#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A291F6
#Date Time: 2018-03-06 21:39:51.663
#Sample rate: 20000Hz
#Samples: 256
#Trigger: Source: Channel 1 Type: Edge Condition: Either Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.006386179675339115,-0.28186023135641264,-0.00068780445286276311
-0.0063361796753391144,-0.27216293069925923,-0.0010224310776326291
-0.0062861796753391147,-0.26213124036427293,-0.0010224310776326291
-0.006236179675339115,-0.25209955002928658,-0.0010224310776326291
-0.0061861796753391145,-0.24206785969430025,-0.0010224310776326291
-0.0061361796753391148,-0.23203616935931395,-0.0010224310776326291
-0.0060861796753391151,-0.22200447902432777,-0.0010224310776326291
-0.0060361796753391145,-0.2119727886893413,-0.0010224310776326291
-0.0059861796753391148,-0.20160670867652211,-0.0010224310776326291
-0.0059361796753391151,-0.19190940801936882,-0.0010224310776326291
-0.0058861796753391146,-0.18221210736221524,-0.0010224310776326291
-0.0058361796753391149,-0.17218041702722892,-0.0010224310776326291
-0.0057861796753391143,-0.16214872669224248,-0.0010224310776326291
-0.0057361796753391146,-0.15211703635725629,-0.0010224310776326291
-0.0056861796753391149,-0.14208534602226999,-0.0010224310776326291
-0.0056361796753391143,-0.13205365568728353,-0.0010224310776326291
-0.0055861796753391146,-0.12168757567446448,-0.0010224310776326291
-0.0055361796753391149,-0.11165588533947816,-0.0010224310776326291
-0.0054861796753391144,-0.10162419500449185,-0.0010224310776326291
-0.0054361796753391147,-0.091926894347338403,-0.0010224310776326291
-0.005386179675339115,-0.081895204012352091,-0.0013570577024024952
-0.0053361796753391144,-0.071863513677365778,-0.0010224310776326291
-0.0052861796753391147,-0.061831823342379466,-0.0010224310776326291
-0.005236179675339115,-0.051800133007393154,-0.0010224310776326291
-0.0051861796753391145,-0.041434052994573964,-0.0013570577024024952
-0.0051361796753391148,-0.031736752337420529,-0.0013570577024024952
-0.0050861796753391151,-0.021370672324601478,-0.0013570577024024952
-0.0050361796753391145,-0.011673371667447894,-0.0013570577024024952
-0.0049861796753391148,-0.0019760710102944569,-0.0013570577024024952
-0.0049361796753391151,0.0080556193246917162,-0.0013570577024024952
-0.0048861796753391145,0.01842169933751105,-0.0013570577024024952
-0.0048361796753391148,0.028787779350330243,-0.0010224310776326291
-0.0047861796753391143,0.038150690329650953,-0.0010224310776326291
-0.0047361796753391146,0.04818238066463712,-0.0010224310776326291
-0.0046861796753391149,0.058214070999623432,-0.0010224310776326291
-0.0046361796753391143,0.068580151012442761,-0.0010224310776326291
-0.0045861796753391146,0.078277451669596071,-0.0010224310776326291
-0.0045361796753391149,0.088643531682415261,-0.0010224310776326291
-0.0044861796753391144,0.098340832339568696,-0.0013570577024024952
-0.0044361796753391147,0.10870691235238789,-0.0010224310776326291
-0.004386179675339115,0.11840421300954132,-0.0010224310776326291
-0.0043361796753391144,0.12877029302236051,-0.0010224310776326291
-0.0042861796753391147,0.13880198335734684,-0.0010224310776326291
-0.004236179675339115,0.14883367369233313,-0.0010224310776326291
-0.0041861796753391144,0.15886536402731946,-0.0010224310776326291
-0.0041361796753391147,0.1685626646844729,-0.0010224310776326291
-0.004086179675339115,0.17859435501945922,-0.0010224310776326291
-0.0040361796753391145,0.18862604535444552,-0.0010224310776326291
-0.0039861796753391148,0.19865773568943185,-0.0010224310776326291
-0.0039361796753391151,0.20835503634658514,-0.0010224310776326291
-0.0038861796753391149,0.21838672668157161,-0.0010224310776326291
-0.0038361796753391153,0.2287528066943908,-0.0010224310776326291
-0.0037861796753391151,0.2387844970293771,-0.0010224310776326291
-0.003736179675339115,0.24848179768653053,-0.0013570577024024952
-0.0036861796753391153,0.2585134880215168,-0.0013570577024024952
-0.0036361796753391152,0.26854517835650316,-0.0010224310776326291
-0.003586179675339115,0.27891125836932235,-0.0010224310776326291
-0.0035361796753391153,0.28894294870430864,-0.0010224310776326291
-0.0034861796753391152,0.29897463903929494,-0.0010224310776326291
-0.0034361796753391151,0.30867193969644841,-0.0010224310776326291
-0.0033861796753391149,0.3187036300314347,-0.0013570577024024952
-0.0033361796753391152,0.32873532036642106,-0.0013570577024024952
-0.0032861796753391151,0.33876701070140736,-0.0013570577024024952
-0.003236179675339115,0.34879870103639365,-0.0013570577024024952
-0.0031861796753391153,0.35883039137137995,-0.0010224310776326291
-0.0031361796753391151,0.36919647138419914,-0.0010224310776326291
-0.003086179675339115,0.37889377204135261,-0.0010224310776326291
-0.0030361796753391153,0.3889254623763389,-0.0010224310776326291
-0.0029861796753391152,0.39895715271132526,-0.00068780445286276311
-0.0029361796753391151,0.40898884304631156,-0.0010224310776326291
-0.0028861796753391149,0.41902053338129785,-0.0010224310776326291
-0.0028361796753391152,0.42905222371628415,-0.0010224310776326291
-0.0027861796753391151,0.43908391405127051,-0.0010224310776326291
-0.002736179675339115,0.4494499940640897,-0.0010224310776326291
-0.0026861796753391153,0.4591472947212431,-0.00068780445286276311
-0.0026361796753391151,0.46917898505622946,-0.0010224310776326291
-0.002586179675339115,0.47921067539121576,-0.0010224310776326291
-0.0025361796753391153,0.48890797604836922,-0.0010224310776326291
-0.0024861796753391152,0.49893966638335552,-0.0010224310776326291
-0.002436179675339115,0.50930574639617476,-0.0010224310776326291
-0.0023861796753391149,0.51933743673116106,-0.0010224310776326291
-0.0023361796753391152,0.52903473738831452,-0.0010224310776326291
-0.0022861796753391151,0.53940081740113366,-0.0013570577024024952
-0.002236179675339115,0.54909811805828712,-0.0010224310776326291
-0.0021861796753391153,0.55912980839327342,-0.0013570577024024952
-0.0021361796753391151,0.56882710905042688,-0.0010224310776326291
-0.002086179675339115,0.57885879938541318,-0.0010224310776326291
-0.0020361796753391153,0.58922487939823243,-0.0010224310776326291
-0.0019861796753391152,0.59892218005538589,-0.0010224310776326291
-0.0019361796753391148,0.60895387039037219,-0.0013570577024024952
-0.0018861796753391149,0.61898556072535849,-0.0010224310776326291
-0.001836179675339115,0.62868286138251195,-0.0010224310776326291
-0.0017861796753391149,0.63904894139533108,-0.0010224310776326291
-0.0017361796753391149,0.64874624205248455,-0.0010224310776326291
-0.0016861796753391148,0.65877793238747084,-0.0010224310776326291
-0.0016361796753391149,0.66880962272245714,-0.0010224310776326291
-0.001586179675339115,0.67884131305744344,-0.0013570577024024952
-0.0015361796753391149,0.68887300339242974,-0.0013570577024024952
-0.0014861796753391149,0.6985703040495832,-0.0010224310776326291
-0.0014361796753391148,0.70893638406240245,-0.0010224310776326291
-0.0013861796753391149,0.71896807439738875,-0.0010224310776326291
-0.001336179675339115,0.72899976473237504,-0.0010224310776326291
-0.0012861796753391149,0.73903145506736134,-0.0010224310776326291
-0.0012361796753391149,0.74906314540234764,-0.0010224310776326291
-0.0011861796753391148,0.75909483573733394,-0.0010224310776326291
-0.0011361796753391149,0.76845774671665457,-0.0010224310776326291
-0.001086179675339115,0.77848943705164086,-0.0010224310776326291
-0.0010361796753391148,0.78885551706446011,-0.0010224310776326291
-0.00098617967533911493,0.79888720739944641,-0.0010224310776326291
-0.00093617967533911502,0.80891889773443271,-0.0013570577024024952
-0.00088617967533911499,0.81861619839158617,-0.0010224310776326291
-0.00083617967533911497,0.82864788872657247,-0.0010224310776326291
-0.00078617967533911506,0.83867957906155877,-0.0010224310776326291
-0.00073617967533911503,0.84871126939654506,-0.0010224310776326291
-0.00068617967533911501,0.85840857005369853,-0.0010224310776326291
-0.00063617967533911499,0.86844026038868483,-0.0010224310776326291
-0.00058617967533911497,0.87880634040150407,-0.0010224310776326291
-0.00053617967533911505,0.88883803073649037,-0.0010224310776326291
-0.00048617967533911497,0.89853533139364372,-0.0010224310776326291
-0.00043617967533911495,0.90856702172863013,-0.0010224310776326291
-0.00038617967533911498,0.91859871206361643,-0.0010224310776326291
-0.00033617967533911496,0.92863040239860273,-0.0010224310776326291
-0.00028617967533911494,0.93832770305575619,-0.0010224310776326291
