#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A291F6
#Date Time: 2018-04-09 21:36:45.954
#Sample rate: 11363.6Hz
#Samples: 256
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.011792,-2.7262487763147449,-0.75560546993368038
-0.011704000000000001,-2.7299270627709062,-0.73385473932363909
-0.011616,-2.7326021801935694,-0.71176938208882756
-0.011528,-2.7342741285827339,-0.68968402485401681
-0.011440000000000001,-2.7352772976162325,-0.66759866761920561
-0.011352000000000001,-2.7356116872940652,-0.64618256363393423
-0.011264,-2.7359460769718984,-0.62409720639912269
-0.011176,-2.7359460769718984,-0.60201184916431194
-0.011088000000000001,-2.7359460769718984,-0.58026111855427065
-0.011000000000000001,-2.7359460769718984,-0.55817576131945978
-0.010912,-2.7362804666497311,-0.53642503070941816
-0.010824,-2.7359460769718984,-0.51400504684983717
-0.010736000000000001,-2.7359460769718984,-0.49191968961502602
-0.010648000000000001,-2.7362804666497311,-0.47016895900498507
-0.01056,-2.7362804666497311,-0.44808360177017353
-0.010472,-2.7359460769718984,-0.42599824453536239
-0.010384000000000001,-2.7362804666497311,-0.40391288730055125
-0.010296,-2.7359460769718984,-0.38216215669050962
-0.010208,-2.7359460769718984,-0.36007679945569881
-0.010120000000000001,-2.7359460769718984,-0.33799144222088767
-0.010032000000000001,-2.7359460769718984,-0.31590608498607647
-0.0099439999999999997,-2.7359460769718984,-0.293820727751265
-0.0098560000000000002,-2.7359460769718984,-0.27173537051645419
-0.0097680000000000006,-2.7359460769718984,-0.24965001328164305
-0.0096800000000000011,-2.7362804666497311,-0.22756465604683221
-0.0095919999999999998,-2.7359460769718984,-0.20581392543679061
-0.0095040000000000003,-2.7359460769718984,-0.18406319482674932
-0.0094160000000000008,-2.7359460769718984,-0.16197783759193818
-0.0093280000000000012,-2.7359460769718984,-0.13955785373235746
-0.0092399999999999999,-2.7359460769718984,-0.11780712312231585
-0.0091520000000000004,-2.7359460769718984,-0.095721765887504695
-0.0090640000000000009,-2.7359460769718984,-0.073636408652693539
-0.0089759999999999996,-2.7359460769718984,-0.051216424793112211
-0.0088880000000000001,-2.7359460769718984,-0.02913106755830137
-0.0088000000000000005,-2.6941473672427887,-0.37111947807310436
-0.008712000000000001,-2.5827956045244407,-1.1056249194429602
-0.0086239999999999997,-2.5874770600141006,-1.1049556661934206
-0.0085360000000000002,-2.592158515503761,-1.1049556661934206
-0.0084480000000000006,-2.5931616845372596,-1.1046210395686507
-0.0083600000000000011,-2.5931616845372596,-1.1042864129438807
-0.0082719999999999998,-2.5934960742150923,-1.1042864129438807
-0.0081840000000000003,-2.5934960742150923,-1.1039517863191108
-0.0080960000000000008,-2.5934960742150923,-1.1039517863191108
-0.0080079999999999995,-2.5934960742150923,-1.1039517863191108
-0.00792,-2.5938304638929255,-1.1036171596943409
-0.0078320000000000004,-2.5934960742150923,-1.1036171596943409
-0.007744,-2.5938304638929255,-1.103282533069571
-0.0076559999999999996,-2.5938304638929255,-1.1036171596943409
-0.0075679999999999992,-2.5938304638929255,-1.1036171596943409
-0.0074799999999999997,-2.5938304638929255,-1.103282533069571
-0.0073919999999999993,-2.5938304638929255,-1.103282533069571
-0.0073039999999999997,-2.5938304638929255,-1.103282533069571
-0.0072159999999999993,-2.5938304638929255,-1.103282533069571
-0.0071279999999999998,-2.5938304638929255,-1.1029479064448013
-0.0070399999999999994,-2.5941648535707582,-1.103282533069571
-0.0069519999999999998,-2.5941648535707582,-1.1029479064448013
-0.0068639999999999994,-2.5941648535707582,-1.1029479064448013
-0.0067759999999999999,-2.5941648535707582,-1.1029479064448013
-0.0066879999999999995,-2.5941648535707582,-1.1029479064448013
-0.0066,-2.5941648535707582,-1.1026132798200314
-0.0065119999999999996,-2.5941648535707582,-1.1026132798200314
-0.006424,-2.5941648535707582,-1.1026132798200314
-0.0063359999999999996,-2.5944992432485914,-1.1026132798200314
-0.0062480000000000001,-2.5941648535707582,-1.1026132798200314
-0.0061599999999999997,-2.5944992432485914,-1.1026132798200314
-0.0060719999999999993,-2.5944992432485914,-1.1026132798200314
-0.0059839999999999997,-2.5944992432485914,-1.1026132798200314
-0.0058959999999999993,-2.5944992432485914,-1.1026132798200314
-0.0058079999999999998,-2.5944992432485914,-1.1026132798200314
-0.0057199999999999994,-2.5944992432485914,-1.1026132798200314
-0.0056319999999999999,-2.5944992432485914,-1.1026132798200314
-0.0055439999999999994,-2.5944992432485914,-1.1026132798200314
-0.0054559999999999999,-2.5944992432485914,-1.1022786531952615
-0.0053679999999999995,-2.5944992432485914,-1.1022786531952615
-0.00528,-2.5944992432485914,-1.1022786531952615
-0.0051919999999999996,-2.5944992432485914,-1.1022786531952615
-0.005104,-2.5944992432485914,-1.1022786531952615
-0.0050159999999999996,-2.5944992432485914,-1.1022786531952615
-0.0049280000000000001,-2.5944992432485914,-1.1022786531952615
-0.0048399999999999997,-2.5944992432485914,-1.1022786531952615
-0.0047519999999999993,-2.5944992432485914,-1.1022786531952615
-0.0046639999999999997,-2.5941648535707582,-1.1019440265704916
-0.0045759999999999993,-2.5944992432485914,-1.1019440265704916
-0.0044879999999999998,-2.5944992432485914,-1.1022786531952615
-0.0044000000000000003,-2.5944992432485914,-1.1022786531952615
-0.0043119999999999999,-2.5948336329264241,-1.1019440265704916
