#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A291F6
#Date Time: 2018-04-09 21:57:46.995
#Sample rate: 11904.8Hz
#Samples: 256
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.011004,-0.056481588497053356,-2.2654408008953153
-0.010920000000000001,-0.050462574296061644,-2.2446939501595842
-0.010836,-0.045112339450735617,-2.2239470994238526
-0.010752000000000001,-0.039762104605409576,-2.2025309954385812
-0.010668,-0.035080649115749291,-2.1821187713276191
-0.010584000000000001,-0.031067972981754829,-2.1603680407175783
-0.010500000000000001,-0.027389686525593121,-2.1396211899818462
-0.010416,-0.023711400069431433,-2.1185397126213443
-0.010332000000000001,-0.021036282646768455,-2.0974582352608433
-0.010248,-0.018361165224105438,-2.0763767579003418
-0.010164000000000001,-0.016689216834941054,-2.0556299071646098
-0.01008,-0.015017268445776666,-2.0348830564288782
-0.0099960000000000014,-0.014014099412278049,-2.0138015790683772
-0.0099120000000000007,-0.013010930378779402,-1.9927201017078748
-0.0098279999999999999,-0.012342151023113644,-1.971973250972143
-0.0097440000000000009,-0.012007761345280771,-1.9508917736116416
-0.0096600000000000002,-0.012007761345280771,-1.93014492287591
-0.0095760000000000012,-0.011673371667447894,-1.9090634455154083
-0.0094920000000000004,-0.011338981989615018,-1.8883165947796767
-0.0094080000000000014,-0.011673371667447889,-1.8672351174191755
-0.0093240000000000007,-0.011673371667447894,-1.8461536400586736
-0.0092399999999999999,-0.011673371667447894,-1.8250721626981719
-0.0091560000000000009,-0.011673371667447894,-1.8039906853376704
-0.0090720000000000002,-0.011673371667447894,-1.7829092079771689
-0.0089880000000000012,-0.011673371667447894,-1.7618277306166674
-0.0089040000000000005,-0.011338981989615018,-1.7407462532561657
-0.0088200000000000014,-0.011338981989615018,-1.7196647758956645
-0.0087360000000000007,-0.011338981989615018,-1.6992525517847024
-0.008652,-0.011673371667447894,-1.6781710744242007
-0.008568000000000001,-0.011673371667447894,-1.6567549704389295
-0.0084840000000000002,-0.011673371667447894,-1.6360081197031977
-0.0084000000000000012,-0.011673371667447894,-1.6149266423426965
-0.0083160000000000005,-0.011673371667447894,-1.5941797916069644
-0.0082320000000000015,-0.011673371667447894,-1.5734329408712331
-0.0081480000000000007,-0.011673371667447894,-1.5523514635107312
-0.008064,-0.011673371667447894,-1.5312699861502297
-0.007980000000000001,-0.011673371667447894,-1.5101885087897284
